author_name,neurips_2019_affil
Basri Ronen,Weizmann Inst.
David Jacobs,"University of Maryland, USA"
Yoni Kasten,Weizmann Institute
Shira Kritchman,Weizmann Institute
Xingyu Lin,Carnegie Mellon University
Harjatin Baweja,CMU
George Kantor,CMU
David Held,CMU
Soumya Basu,University of Texas at Austin
Rajat Sen,Amazon
Sujay Sanghavi,UT-Austin
Sanjay Shakkottai,University of Texas at Austin
Wei Qian,Cornell Univeristy
Yuqian Zhang,Cornell University
Yudong Chen,Cornell University
Taewan Kim,Amazon
Joydeep Ghosh,UT Austin
Hsiang-Fu Yu,Amazon
Inderjit S Dhillon,UT Austin & Amazon
Chen Xing,Montreal Institute of Learning Algorithms
Negar Rostamzadeh,Elemenet AI
Boris Oreshkin,Element AI
Pedro O. Pinheiro,Element AI
Ioannis Koutis,New Jersey Institute of Technology
Huong Le,NJIT
Zhitao Ying,Stanford University
Ines Chami,Stanford University
Jure Leskovec,Stanford University and Pinterest
Jian QIAN,INRIA Lille - Sequel Team
Ronan Fruit,Inria Lille
Matteo Pirotta,Facebook AI Research
Alessandro Lazaric,Facebook Artificial Intelligence Research
Xiao Sun,IBM Thomas J. Watson Research Center
Jungwook Choi,Hanyang University
Chia-Yu Chen,IBM research
Naigang Wang,IBM T. J. Watson Research Center
Swagath Venkataramani,IBM Research
Vijayalakshmi,Viji) Srinivasan (IBM TJ Watson
Xiaodong Cui,IBM T. J. Watson Research Center
Wei Zhang,IBM T.J.Watson Research Center
Kailash Gopalakrishnan,IBM Research
Guang-He Lee,MIT
Shiyu Chang,IBM T.J. Watson Research Center
Tommi Jaakkola,MIT
Ruqi Zhang,Cornell University
Ari Morcos,Facebook AI Research
Haonan Yu,Facebook AI Research
Michela Paganini,Facebook AI Research
Ali Mousavi,Google Brain
Daniel Holtmann-Rice,Google Inc
Satyen Kale,Google
Sashank Reddi,Google
Sanjiv Kumar,Google Research
Suman Bera,University of California Santa Cruz
Deeparnab Chakrabarty,Dartmouth
Nicolas Flores,Dartmouth College
Maryam Negahbani,Dartmouth College
Xin Guo,"University of California, Berkeley"
Anran Hu,"University of Californian, Berkeley (UC Berkeley)"
Renyuan Xu,University of Oxford
Junzi Zhang,Stanford University
Igor Fedorov,Arm Research
Ryan Adams,Princeton University
Matthew Mattina,ARM
Paul Whatmough,Arm Research
Eric Jonas,University of Chicago
Chi Han,Tsinghua University
Jiayuan Mao,MIT
Jiajun Wu,MIT
Andrew Tao,Nvidia Corporation
Guilin Liu,NVIDIA
Bryan Catanzaro,NVIDIA
Weiyang Liu,Georgia Institute of Technology
Zhen Liu,"MILA, University of Montreal"
James M Rehg,Georgia Tech
Yikang Shen,"Mila, University of Montreal, MSR Montreal"
Shawn Tan,Mila
Arian Hosseini,"Mila, University of Montreal, MSR Montreal"
Zhouhan Lin,MILA
Alessandro Sordoni,Microsoft Research Montreal
David Berthelot,Google Brain
Nicholas Carlini,Google
Ian Goodfellow,Google
Nicolas Papernot,University of Toronto
Avital Oliver,Google Brain
Colin A Raffel,Google Brain
Jingjing Wang,University of Waterloo
Sun Sun,National Research Council
Yaoliang Yu,University of Waterloo
Sharon Qian,Harvard
Yaron Singer,Harvard University
Anton Bakhtin,Facebook AI Research
Laurens van der Maaten,Facebook
Justin Johnson,University of Michigan / FAIR
Laura Gustafson,Facebook AI Research
Ross Girshick,FAIR
Ji Xu,Columbia University
Daniel Hsu,Columbia University
Jicong Fan,Cornell University
Lijun Ding,Cornell University
Madeleine Udell,Cornell University
Ifigeneia Apostolopoulou,Carnegie Mellon University
Kyle Miller,Carnegie Mellon University
Artur Dubrawski,Carnegie Mellon University
Gautier Izacard,Ecole Polytechnique
Sreyas Mohan,NYU
Carlos Fernandez-Granda,NYU
Ziyu Jiang,Texas A&M University
Yue Wang,MIT
Xiaohan Chen,Texas A&M University
Pengfei Xu,Didi Chuxing
Yang Zhao,Rice University
Yingyan Lin,Rice University
Tianjun Zhang,"University of California, Berkeley"
Zhewei Yao,UC Berkeley
Amir Gholami,"University of California, Berkeley"
Joseph Gonzalez,UC Berkeley
Kurt Keutzer,"EECS, UC Berkeley"
Michael W Mahoney,UC Berkeley
George Biros,University of Texas at Austin
Jayadev Acharya,Cornell University
Sourbh Bhadane,Cornell University
Piotr Indyk,MIT
Ziteng Sun,Cornell University
Micah Carroll,UC Berkeley
Rohin Shah,UC Berkeley
Mark Ho,Princeton University
Tom Griffiths,Princeton University
Sanjit Seshia,UC Berkeley
Anca Dragan,UC Berkeley
Gabriele Farina,Carnegie Mellon University
Chun Kai Ling,Carnegie Mellon University
Fei Fang,Carnegie Mellon University
Tuomas Sandholm,"CMU, Strategic Machine, Strategy Robot, Optimized Markets"
Zhengyuan Zhou,Stanford University
Saeed Mahloujifar,University of Virginia
Xiao Zhang,Purdue University
Mohammad Mahmoody,University of Virginia
David Evans,University of Virginia
Erik Nijkamp,UCLA
Mitch Hill,UCLA Department of Statistics
Ying Nian Wu,"University of California, Los Angeles"
Shiyang Li,UCSB
Xiaoyong Jin,UCSB
Yao Xuan,"University of California, Santa Barbara"
Xiyou Zhou,UC Santa Barbara
Wenhu Chen,"University of California, Santa Barbara"
Yu-Xiang Wang,UC Santa Barbara
Xifeng Yan,UCSB
Pang Wei Koh,Stanford University
Kai-Siang Ang,Stanford University
Hubert Teo,Stanford University
Yandong Wen,Carnegie Mellon University
Bhiksha Raj,Carnegie Mellon University
Rita Singh,Carnegie Mellon University
Mengye Ren,University of Toronto / Uber ATG
Ethan Fetaya,University of Toronto
Ivan Stelmakh,Carnegie Mellon University
Nihar Shah,CMU
Aarti Singh,CMU
Chanho Eom,Yonsei University
Bumsub Ham,Yonsei University
Nixie S Lesmana,Nanyang Technological University
Xuan Zhang,University of Illinois at Urbana-Champaign
Xiaohui Bei,Nanyang Technological University
Yulia Rubanova,University of Toronto
Tian Qi Chen,U of Toronto
Yiqi Zhong,University of Southern California
Cho-Ying Wu,University of Southern California
Suya You,US Army Research Laboratory
Guillaume Charpiat,INRIA
Nicolas Girard,Inria Sophia-Antipolis
Loris Felardos,INRIA
Yuliya Tarabalka,Inria Sophia-Antipolis
Marko Mitrovic,Yale University
Ehsan Kazemi,Yale
Moran Feldman,Open University of Israel
Amin Karbasi,Yale
Adam Gaier,Google / Inria / H-BRS
David Ha,Google Brain
Daniel Freeman,Google Brain
Luke Metz,Google Brain
Sébastien Arnold,University of Southern California
Pierre-Antoine Manzagol,Google
Reza Babanezhad Harikandeh,UBC
Ioannis Mitliagkas,Mila & University of Montreal
Daniel McDuff,Microsoft Research
Shuang Ma,SUNY Buffalo
Yale Song,Microsoft
Ashish Kapoor,Microsoft
Yunwen Lei,Southern University of Science and Technology
Peng Yang,Southern University of Science and Technology
Ke Tang,Southern University of Science and Technology
Ding-Xuan Zhou,City University of Hong Kong
Ashudeep Singh,Cornell University
Thorsten Joachims,Cornell
Alexander Irpan,Google Brain
Kanishka Rao,Google
Konstantinos Bousmalis,DeepMind
Chris Harris,Google
Julian Ibarz,Google Inc.
Corinna Cortes,Google Research
Mehryar Mohri,Courant Inst. of Math. Sciences & Google Research
Dmitry Storcheus,Google Research
Atilim Gunes Baydin,University of Oxford
Lei Shao,Intel Corporation
Wahid Bhimji,Berkeley lab
Lukas Heinrich,New York University
Saeid Naderiparizi,University of British Columbia
Andreas Munk,University of British Columbia
Jialin Liu,Lawrence Berkeley National Lab
Bradley Gram-Hansen,University of Oxford
Lawrence Meadows,Intel Corporation
Victor Lee,Intel Corporation
Kyle Cranmer,New York University
Mr. Prabhat,LBL/NERSC
Frank Wood,University of British Columbia
Harald Steck,Netflix
Edward Raff,Booz Allen Hamilton
David Eriksson,Uber AI
Matthias Poloczek,Uber AI
Jacob Gardner,Uber AI Labs
Ryan Turner,Uber AI Labs
Michael Pearce,Warwick University
Daniel Jarrett,University of Cambridge
M Van Der Schaar,"University of California, Los Angeles"
Zhouyuan Huo,University of Pittsburgh
Shen-Huan Lyu,Nanjing University
Liang Yang,Nanjing University
Amir Najafi,Sharif University of Technology
Shin-ichi Maeda,Preferred Networks
Takeru Miyato,"Preferred Networks, Inc."
Kohei Hayashi,Preferred Networks
Taiki Yamaguchi,The University of Tokyo
Yohei Sugawara,"Preferred Networks, Inc."
Wei Deng,Purdue University
Faming Liang,Purdue University
Guang Lin,Purdue University
Binghui Peng,Columbia University
Wei Chen,Microsoft Research
Yiren Zhao,University of Cambridge
Xitong Gao,"Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences"
Daniel Bates,University of Cambridge
Robert Mullins,University of Cambridge
Cheng-Zhong Xu,University of Macau
Dinesh Garg,"IBM Research AI, India"
Shajith Ikbal Mohamed,"IBM Research AI, India"
Santosh K. Srivastava,IBM Research AI
Harit Vishwakarma,University of Wisconsin Madison
Hima Karanam,IBM Research AI
L Venkata Subramaniam,IBM Research AI - India
Vrettos Moulos,UC Berkeley
Andrea Zanette,Stanford University
Mykel J Kochenderfer,Stanford University
Emma Brunskill,Stanford University
Mahdi Karami,University of Alberta
Jascha Sohl-Dickstein,Google Brain
Laurent Dinh,Google Brain
Daniel Duckworth,Google Brain
Philippe Casgrain,Citadel / University of Toronto
Xiaoling Hu,Stony Brook University
Fuxin Li,Oregon State University
Dimitris Samaras,Stony Brook University
Chao Chen,Stony Brook University
Aming Wu,Tianjin University
Linchao Zhu,University of Sydney Technology
Yahong Han,"Tianjin University, China"
Vikas Garg,MIT
Tamar Pichkhadze,MIT
Francisco Garcia,University of Massachusetts - Amherst
Philip Thomas,University of Massachusetts Amherst
Xiao Liu,Peking University
Xiaolong Zou,Peking University
Zilong Ji,Beijing Normal University
Gengshuo Tian,Beijing Normal University
Yuanyuan Mi,Weizmann Institute of Science
Tiejun Huang,Peking University
K. Y. Michael Wong,"Department of Physics, Hong Kong University of Science and Technology"
Jianxin Ma,Alibaba Group
Chang Zhou,Alibaba Group
Peng Cui,Tsinghua University
Hongxia Yang,Alibaba Group
Simon Du,Institute for Advanced Study
Kangcheng Hou,Zhejiang University
Russ Salakhutdinov,Carnegie Mellon University
Barnabas Poczos,Carnegie Mellon University
Keyulu Xu,MIT
Hui Guan,North Carolina State University
Lin Ning,NCSU
Zhen Lin,NCSU
Xipeng Shen,North Carolina State University
Huiyang Zhou,NCSU
Seung-Hwan Lim,Oak Ridge National Laboratory
Bin Shi,UC Berkeley
Weijie Su,"The Wharton School, University of Pennsylvania"
Zhilin Yang,Recurrent AI
Zihang Dai,Carnegie Mellon University
Yiming Yang,CMU
Jaime Carbonell,CMU
Jianghong Shi,University of Washington
Eric Shea-Brown,University of Washington
Michael Buice,Allen Institute for Brain Science
Thang Luong,Google Brain
Mingyi Hong,University of Minnesota
Kexin Tang,Shanghai Jiao Tong University
Ben Adlam,Google
Ningshan Zhang,New York University
Tiantian Fang,University of Illinois Urbana-Champaign
Alexander Schwing,University of Illinois at Urbana-Champaign
Ronghui You,Fudan University
Ziye Wang,Fudan University
Suyang Dai,Fudan University
Hiroshi Mamitsuka,Kyoto University / Aalto University
Shanfeng Zhu,Fudan University
Himanshu Sahni,Georgia Institute of Technology
Toby Buckley,Offworld Inc.
Ilya Kuzovkin,Offworld Inc.
Kecheng Zheng,University of Science and Technology of China
Wei Wei,Google AI
Yangbangyan Jiang,"Institute of Information Engineering, Chinese Academy of Sciences"
Florian Tramer,Stanford University
Dan Boneh,Stanford University
Gi-Soo Kim,Seoul National University
Myunghee Cho Paik,Seoul National University
Xuezhe Ma,Carnegie Mellon University
Xiang Kong,Carnegie Mellon University
Shanghang Zhang,Carnegie Mellon University
Eduard Hovy,Carnegie Mellon University
Drew Hudson,Stanford
Christopher Manning,Stanford University
Mikhail Khodak,CMU
Ameet Talwalkar,CMU
Kai Zheng,Peking University
Haipeng Luo,University of Southern California
Liwei Wang,Peking University
Wenhao Yang,Peking University
Zhihua Zhang,Peking University
Zhiwei Fan,University of Wisconsin-Madison
Aritra Guha,University of Michigan
Paraschos Koutris,University of Wisconsin-Madison
XuanLong Nguyen,University of Michigan
Siqi Wang,National University of Defense Technology
Yijie Zeng,Nanyang Technological University
Xinwang Liu,National University of Defense Technology
En Zhu,National University of Defense Technology
Jianping Yin,Dongguan University of Technology
Chuanfu Xu,National University of Defense Technology
Marius Kloft,TU Kaiserslautern
Yonatan Geifman,Technion
Ran El-Yaniv,Technion
Christopher Criscitiello,"None, formerly Princeton University"
Nicolas Boumal,Princeton University
Jiong Zhang,University of Texas at Austin
W. O. K. Asiri Suranga Wijesinghe,The Australian National University
Qing Wang,Huya AI
Wonjae Kim,Kakao Corporation
Yoonho Lee,Kakao Corporation
Mareike Hartmann,University of Copenhagen
Yova  Kementchedjhieva,University of Copenhagen
Anders Søgaard,University of Copenhagen
Tianyu Guo,Peking University
Boxin Shi,Peking University
Chao Xu,Peking University
Florian Scheidegger,IBM Research -- Zurich
Luca Benini,"ETHZ, University of Bologna "
Costas Bekas,IBM Research GmbH
A. Cristiano I. Malossi,IBM Research - Zurich
Yihe Dong,Microsoft
Samuel Hopkins,UC Berkeley
Jerry Li,Microsoft
Yanyao Shen,UT Austin
Yu Qi,Zhejiang University
Bin Liu,Nanjing University of Posts and Telecommunications
Yueming Wang,Zhejiang University
Gang Pan,Zhejiang University
Yingru Li,"The Chinese University of Hong Kong, Shenzhen, China"
Jiechao Xiong,Tencent AI Lab
Tong Zhang,Tencent AI Lab
Alessio Ansuini,International School for Advanced Studies (SISSA)
Alessandro Laio,International School for Advanced Studies (SISSA)
Jakob H Macke,"Technical University of Munich, Munich, Germany"
Davide Zoccolan,"Visual Neuroscience Lab, International School for Advanced Studies (SISSA)"
Anh Tuan Luu,MIT CSAIL
Aston Zhang,Amazon AI
Shuohang Wang,Singapore Management University
Siu Cheung Hui,Nanyang Technological University
Jian Ni,University of Science and Technology of China
Haiyong Xie,University of Science and Technology of China
Zeyuan Allen-Zhu,Microsoft Research
Yuanzhi Li,Princeton
Yingyu Liang,University of Wisconsin Madison
Sangwoo Mo,KAIST
Chiheon Kim,Kakao Brain
Sungwoong  Kim,Kakao Brain
Minsu Cho,POSTECH
Jinwoo Shin,KAIST; AITRICS
Jie Song,Zhejiang University
Xinchao Wang,Stevens Institute of Technology
Chengchao Shen,Zhejiang University
Mingli Song,Zhejiang University
Derek Yang,UC San Diego
Li Zhao,Microsoft Research
Zichuan Lin,Tsinghua University
Jiang Bian,Microsoft
Guy Lorberbom,Technion
Andreea Gane,Google AI
Tamir Hazan,Technion
Guangwen Yang,Tsinghua University
Yilun Xu,Peking University
Peng Cao,Peking University
Yuqing Kong,Peking University
Yizhou Wang,Peking University
Motonobu Kanagawa,EURECOM
Dan Zhang,Bosch Center for Artificial Intelligence
Anna Khoreva,Bosch Center for Artificial Intelligence
Ali Kavis,EPFL
Kfir Y. Levy,Technion
Volkan Cevher,EPFL
Aaron Klein,Amazon Berlin
Zhenwen Dai,Amazon
Frank Hutter,University of Freiburg & Bosch
Neil Lawrence,Amazon
Javier Gonzalez,Amazon
Rahma Chaabouni,FAIR/ENS
Eugene Kharitonov,Facebook AI
Emmanuel Dupoux,Ecole des Hautes Etudes en Sciences Sociales
Marco Baroni,University of Trento
Abraham Traore,University of Rouen
Maxime Berar,Université de Rouen
Alain Rakotomamonjy,Université de Rouen Normandie   Criteo AI Lab
Yiren Wang,University of Illinois at Urbana-Champaign
Yingce Xia,Microsoft Research Asia
Fei Tian,Facebook
Fei Gao,University of Chinese Academy of Sciences
Cheng Xiang  Zhai,University of Illinois at Urbana-Champaign
Martin Jørgensen,Technical University of Denmark
Weiwei Liu,Wuhan University
Martin Trapp,Graz University of Technology
Robert Peharz,University of Cambridge
Hong Ge,University of Cambridge
Franz Pernkopf,"Signal Processing and Speech Communication Laboratory, Graz, Austria"
Zoubin Ghahramani,Uber and University of Cambridge
Robert Pinsler,University of Cambridge
Jonathan Gordon,University of Cambridge
Eric Nalisnick,University of Cambridge
zengfeng Huang,Fudan University
Ziyue Huang,Hong Kong University of Science and Technology
Yilei WANG,The Hong Kong University of Science and Technology
Ke Yi,""" Hong Kong University of Science and Technology, Hong Kong"""
Xiaohan Ding,Tsinghua University
guiguang ding,"Tsinghua University, China"
Xiangxin Zhou,Tsinghua University
Yuchen Guo,Tsinghua University
Jungong Han,Lancaster University
Tomasz Kuśmierczyk,University of Helsinki
Joseph Sakaya,University of Helsinki
Arto Klami,University of Helsinki
Ryo Karakida,National Institute of Advanced Industrial Science and Technology
Shotaro Akaho,AIST
Shun-ichi Amari,RIKEN
Natasa Tagasovska,University of Lausanne
David Lopez-Paz,Facebook AI Research
Eran Malach,Hebrew University Jerusalem Israel
Shai Shalev-Shwartz,Mobileye & HUJI
Matteo Togninalli,ETH Zürich
Elisabetta Ghisu,ETH Zurich
Felipe Llinares-López,ETH Zürich
Bastian Rieck,ETH Zurich
Karsten Borgwardt,ETH Zurich
Qi Dou,Imperial College London
Daniel Coelho de Castro,Imperial College London
Konstantinos Kamnitsas,Imperial College London
Ben Glocker,Imperial College London
Lukas Hoyer,Bosch Center for Artificial Intelligence
Mauricio Munoz,Bosch Center for Artificial Intelligence
Prateek Katiyar,Bosch Center for Artificial Intelligence
Volker Fischer,"Robert Bosch GmbH, Bosch Center for Artificial Intelligence"
Ioannis Panageas,SUTD
Georgios Piliouras,Singapore University of Technology and Design
Xiao Wang,Singapore University of Technology and Design
Michael Arbel,UCL
Anna Korba,Gatsby Unit - UCL
Adil SALIM,KAUST
Sajin Sasy,University of Waterloo
Olga Ohrimenko,Microsoft Research
Zaiqiao Meng,University of Glasgow
Shangsong Liang,Sun Yat-sen University
Jinyuan Fang,Sun Yat-sen University
Teng Xiao,Sun Yat-sen University
Roman Beliy,weizmann institute
Guy Gaziv,Weizmann Institute of Science
Assaf Hoogi,Weizmann Institute
Francesca Strappini,Weizmann Institute of Science
Tal Golan,Columbia University
Damien Ackerer,Swissquote
Thibault Vatter,Columbia University
Tobias Sommer Thune,University of Copenhagen
Nicolò Cesa-Bianchi,Università degli Studi di Milano
Yevgeny Seldin,University of Copenhagen
Lars Maaløe,Corti
Marco Fraccaro,Unumed
Valentin Liévin,DTU
Ole Winther,Technical University of Denmark
Bolin Wei,Peking University
Xin Xia,Monash University
Zhiyi Fu,"Key Lab of High Confidence Software Technologies (Peking University), Ministry of Education"
Zhi Jin,"Key Lab of High Confidence Software Technologies (Peking University), Ministry o"
Ron A Shapira Weber,Ben-Gurion University
Matan Eyal,Ben Gurion University
Oren Shriki,Ben-Gurion University of the Negev
Oren Freifeld,Ben-Gurion University
Cheng-Chun Hsu,Academia Sinica
Kuang-Jui Hsu,Qualcomm
Chung-Chi Tsai ,Qualcomm
Yen-Yu Lin,National Chiao Tung University
Yung-Yu Chuang,National Taiwan University
Gilad Yehudai,Weizmann Institute of Science
Ohad Shamir,Weizmann Institute of Science
tianyuan jin,University of Science and Technology of China
Jieming SHI,NATIONAL UNIVERSITY OF SINGAPORE
Xiaokui Xiao,National University of Singapore
Enhong Chen,University of Science and Technology of China
Taufik Xu,Tsinghua University
Chongxuan LI,Tsinghua University
Jun Zhu,Tsinghua University
Bo Zhang,Tsinghua University
Karlis Freivalds,"Institute of Mathematics and Computer Science, University of Latvia"
Emīls Ozoliņš,Institute of Mathematics and Computer Science
Agris Šostaks,Institute of Mathematics and Computer Science
Yukang Chen,"Institute of Automation, Chinese Academy of Sciences"
Tong Yang,Megvii Inc.
Xiangyu Zhang,MEGVII Technology
Xinyu Xiao,"National Laboratory of Pattern recognition (NLPR),  Institute of Automation of Chinese Academy of Sciences (CASIA)"
Sungbin Lim,Kakao Brain
Ildoo Kim,Kakao Brain
Taesup Kim,Mila / Kakao Brain
Ben Deverett,Princeton University
Ryan Faulkner,Deepmind
Meire Fortunato,DeepMind
Joel Leibo,DeepMind
Roi Livni,Tel Aviv University
Stanislav Fort,Stanford University / Google Research
Stanislaw Jastrzebski,New York University
Mike Gartrell,Criteo AI Lab
Victor-Emmanuel Brunel,ENSAE ParisTech
Elvis Dohmatob,Criteo
Syrine Krichene,Google
Dylan Foster,MIT
Spencer Greenberg,Spark Wave
Karthik Sridharan,Cornell University
Bo Yang,University of Oxford
Jianan Wang,DeepMind
Ronald Clark,Imperial College London
Qingyong Hu,University of Oxford
Sen Wang,Heriot-Watt University
Andrew Markham,University of Oxford
Niki Trigoni,University of Oxford
Seppo Virtanen,University of Cambridge
Mark Girolami,Imperial College London
Yibo Zhang,Illinois
Rajiv Khanna,University of California at Berkeley
Anastasios Kyrillidis,Rice University
Oluwasanmi Koyejo,UIUC
Iryna Korshunova,Ghent University
Hanchen Xiong,Twitter
Mateusz Fedoryszak,Twitter
Lucas Theis,Twitter
Shouvanik Chakrabarti,University of Maryland
Huang Yiming,University of Electronic Science and Technology of China; University of Maryland
Tongyang Li,University of Maryland
Soheil Feizi,University of Maryland
Xiaodi Wu,University of Maryland
Joan Serrà,Telefónica Research
Santiago Pascual,Universitat Politècnica de Catalunya
Carlos Segura Perales,Telefónica Research
Ho Chung Law,University of Oxford
Leung Sing Chan,University of Oxford
Dino Sejdinovic,University of Oxford
Akinori Tanaka,RIKEN/Keio Univ.
David Salinas,Naverlabs
Michael Bohlke-Schneider,Amazon
Laurent Callot,Amazon
Jan Gasthaus,Amazon.com
Roberto Medico,Ghent University
Xiaobo Xia,The University of Sydney / Xidian University
Nannan Wang,Xidian University
Bo Han,RIKEN
Fenglin Liu,Peking University
Yuanxin Liu,"Institute of Information Engineering, Chinese Academy of Sciences; SCS, University of Chinese Academy of Sciences"
Xuancheng Ren,Peking University
Xiaodong He,JD AI research
Kai Lei,peking university
Marco Cuturi,Google Brain  &  CREST - ENSAE
Olivier Teboul,Google Brain
Jean-Philippe Vert,
Gaël Letarte,Université Laval
Pascal Germain,INRIA
Benjamin Guedj,Inria & University College London
Francois Laviolette,Université Laval
Chenwei DING,The University of Sydney
DongDong Ge,Shanghai University of Finance and Economics
Haoyue Wang,Fudan University
Zikai Xiong,Fudan University
Yinyu  Ye,Standord
Denis Mazur,Yandex
Vage Egiazarian,Skoltech
Stanislav Morozov,Yandex
Artem Babenko,Yandex
Boris Muzellec,"ENSAE, Institut Polytechnique de Paris"
Huizhuo Yuan,Peking University
Xiangru Lian,University of Rochester
Chris Junchi Li,Tecent AI Lab
Yu-Guan Hsieh,Université Grenoble Alpes / École Normale Supérieure Paris
Franck Iutzeler,Univ. Grenoble Alpes
Jérôme Malick,CNRS and LJK
Panayotis Mertikopoulos,CNRS (French National Center for Scientific Research)
Shagun Ajmera Shyam Sunder Ajmera,Indian Institute of Science
Shreya Rajagopal,Indian Institute of Science
Razi Rehman,Indian Institute of Science
Devarajan Sridharan,Indian Institute of Science
Rui Zhang,Arizona State University
Sebastian Goldt,"Institut de Physique Théorique, CNRS, Paris"
Madhu Advani,Apple
Andrew Saxe,University of Oxford
Florent Krzakala,École Normale Supérieure
Lenka Zdeborová,CEA Saclay
Yuan Liu,Zhejiang University
Zehong Shen,Zhejiang University
Zhixuan Lin,Zhejiang University
Sida Peng,Zhejiang University
Hujun Bao,Zhejiang University
Xiaowei Zhou,"Zhejiang University, China"
Mark Herbster,University College London
James Robinson,UCL
Fan Zhou,Shanghai University of Finance and Economics
Tengfei Li,UNC Chapel Hill
Haibo Zhou,University of North Carolina at Chapel Hill
Hongtu Zhu,UNC Chapel Hill
Ye Jieping,DiDi Chuxing
Andreas Kirsch,University of Oxford
Joost van Amersfoort,University of Oxford
Yarin Gal,University of Oxford
Yaniv Blumenfeld,Technion
Dar Gilboa,Columbia University
Daniel Soudry,Technion
Marek Petrik,University of New Hampshire
Reazul Hasan Russel,University of New Hampshire
Alexis CONNEAU,Facebook
Guillaume Lample,Facebook AI Research
Cornelius Schröder,University of Tübingen
Ben James ,University of Sussex
Leon Lagnado,University of Sussex
Philipp Berens,University of Tübingen
Maxence Ernoult,Université Paris Sud
Benjamin Scellier,"Mila, University of Montreal"
Damien Querlioz,Univ Paris-Sud
Julie Grollier,Unité Mixte de Physique CNRS/Thales
Nicolas Keriven,Ecole Normale Supérieure
Gabriel Peyré,CNRS and ENS
Jaehyeok Shin,Carnegie Mellon University
Alessandro Rinaldo,CMU
Abi Komanduru,Purdue University
Matthew Fellows,University of Oxford
Anuj Mahajan,University of Oxford
Tim G. J. Rudner,University of Oxford
Aliaksandr Siarohin,University of Trento
Stephane Lathuillere,University of Trento
Sergey Tulyakov,Snap Inc
Elisa Ricci,FBK - Technologies of Vision
Nicu Sebe,University of Trento
Laurence Aitchison,University of Cambridge
Alban Laflaquière,SoftBank Robotics Europe
Jiabin Liu,University of Chinese Academy of Sciences
Bo Wang,University of International Business and Economics
Zhiquan Qi,University of Chinese Academy of Sciences
YingJie Tian,University of Chinese Academy of Sciences
Yong Shi,University of Chinese Academy of Sciences
Debmalya Mandal,Columbia University
Nisarg Shah,University of Toronto
Can Qin,Northeastern University
Haoxuan You,Columbia University
Lichen Wang,Northeastern University
C.-C. Jay Kuo,University of Southern California
Yun Fu,Northeastern University
Xiangyi Chen,University of Minnesota
Sijia Liu,"MIT-IBM Watson AI Lab, IBM Research AI"
Kaidi Xu,Northeastern University
Xingguo Li,Princeton University
Xue Lin,Northeastern University
Erwan Lecarpentier,Université de Toulouse
Emmanuel Rachelson,ISAE-SUPAERO / University of Toulouse
Akihiro Kishimoto,IBM Research
Beat Buesser,IBM Research
Bei Chen,IBM Research
Adi Botea,IBM Research
Nika Haghtalab,Cornell University
Cameron Musco,Microsoft Research
Bo Waggoner,"U. Colorado, Boulder"
Sebastian Mair,Leuphana University
Ulf Brefeld,Leuphana
Adam Bielski,University of Bern
Paolo Favaro,"Bern University, Switzerland"
Xiyang Hu,Duke University
Cynthia Rudin,Duke
Margo Seltzer,University of British Columbia
Yue Sun,University of Washington
Nicolas Flammarion,EPFL
Maryam Fazel,University of Washington
Sicheng Zhao,University of California Berkeley
Bo Li,Harbin Institute of Technology
Xiangyu Yue,UC Berkeley
Yang Gu,Didi chuxing
Runbo Hu,DiDi Chuxing
Hua Chai,Didi Chuxing
Carlo Ciliberto,Imperial College London
Sarath Yasodharan,Indian Institute of Science
Patrick Loiseau,Inria
David Sabbagh,INRIA
Pierre Ablin,Inria
Gael Varoquaux,"Parietal Team, INRIA"
Denis A. Engemann,INRIA Saclay
Lei Xu,MIT
Maria Skoularidou,University of Cambridge
Alfredo Cuesta-Infante,Universidad Rey Juan Carlos
Kalyan Veeramachaneni,Massachusetts Institute of Technology
Lu Hou,"Huawei Technologies Co., Ltd"
Jinhua Zhu,University of Science and Technology of China
James Kwok,Hong Kong University of Science and Technology
Clarice Poon,University of Bath
Jingwei Liang,University of Cambridge
Daniel Worrall,University of Amsterdam
Edward De Brouwer,KU Leuven
Jaak Simm,KU Leuven
Adam Arany,University of Leuven
Yves Moreau,KU Leuven
Niloy Biswas,Harvard University
Pierre E Jacob,Harvard University
Paul Vanetti,Oxford
Ali Vakilian,University of Wisconsin-Madison
Sanjeev Arora,Princeton University
Nadav Cohen,Tel Aviv University
Wei Hu,Princeton University
Yuping Luo,Princeton University
Sushrut Karmalkar,The University of Texas at Austin
Adam Klivans,UT Austin
Pravesh Kothari,Princeton University and Institute for Advanced Study
Theo Deprelle,École des ponts ParisTech
Thibault Groueix,École des ponts ParisTech
Matthew Fisher,Adobe Research
Vladimir Kim,Adobe
Bryan Russell,Adobe
Mathieu Aubry,École des ponts ParisTech
Pascale Gourdeau,University of Oxford
Marta Kwiatkowska,University of Oxford
James Worrell,University of Oxford
Debarghya Ghoshdastidar,Technical University Munich
Michaël Perrot,Max Planck Institute for Intelligent Systems
Ulrike von Luxburg,University of Tübingen
Marco Loog,Delft University of Technology & University of Copenhagen
Tom Viering,"Delft University of Technology, Netherlands"
Alexander Mey,TU Delft
Liangpeng Zhang,University of Birmingham
Xin Yao,Southern University of Science and Technology
