university_name,year_2017,year_2016,year_2015,year_2014,year_2013,year_2012,year_2011,year_2010,year_2009,year_2008
University of Tulsa,"20,879","22,347","25,066","27,077","21,757","20,270","19,489","23,387","13,769","15,576"
University of Alaska Anchorage,"20,861","19,883","17,436","17,150","20,255","20,194","18,620","16,709","13,400","13,353"
Fordham University,"20,807","25,374","20,939","17,961","18,822","19,311","18,350","19,289","15,676","16,492"
Delaware State University,"20,793","21,320","15,980","17,679","17,295","15,668","19,019","15,200","9,924","8,384"
New Mexico Institute of Mining and Technology,"20,491","19,598","26,265","48,338","32,499","37,875","43,857","51,696","81,742","79,437"
Albany Medical College,"20,443","20,166","18,043","16,093","15,093","17,735","20,876","22,953","17,776","15,108"
Illinois State University,"20,080","20,408","18,742","19,159","17,589","17,760","17,833","18,417","8,727","7,110"
Northeast Ohio Medical University,"19,216","18,823","17,103","15,916","12,722","13,358","13,581","10,819","10,077","9,165"
Northern Illinois University,"19,150","21,225","17,722","16,427","23,027","21,823","21,748","27,036","27,938","21,179"
Villanova University,"19,037","14,903","14,512","13,700","7,049","8,547","10,044","10,066","9,919","9,484"
"California State University, Long Beach","18,805","16,390","8,830","10,097","12,796","13,696","14,595","15,494","13,453","16,400"
Idaho State University,"18,564","20,447","17,866","20,610","22,147","21,179","21,450","20,495","21,405","21,627"
Marshall University,"18,348","20,687","19,936","20,382","19,617","18,998","26,723","24,501","23,645","23,022"
Florida Institute of Technology,"18,180","18,860","14,282","14,255","13,298","17,100","14,523","12,054","11,523","9,232"
Tennessee State University,"18,108","19,520","19,955","20,068","16,177","15,439","13,468","12,432","12,581","12,571"
"California Polytechnic State University, San Luis Obispo","17,979","18,081","16,312","15,096","16,067","17,412","16,532","19,732","19,857","15,196"
"California State University, Northridge","17,979","16,330","13,333","12,991","9,640","29,491","25,654","29,469","20,822","20,574"
Southern Illinois University Edwardsville,"17,393","18,780","19,051","18,915","25,807","26,992","33,736","31,781","49,139","47,268"
Miami University,"17,239","16,057","16,108","21,216","23,924","26,311","26,093","26,521","29,808","25,052"
Duquesne University,"17,197","17,089","16,159","15,025","15,661","15,547","16,814","15,804","11,856","11,982"
Rosalind Franklin University of Medicine and Science,"17,006","16,760","16,604","17,794","17,401","15,587","14,261","12,426","13,375","12,128"
Meharry Medical College,"16,782","14,768","13,998","18,997","22,532","25,559","29,055","27,001","26,587","34,152"
Tuskegee University,"16,535","16,535","20,740","24,945","21,150","15,991","15,685","15,581","18,543","16,606"
Hampton University,"16,482","14,225","14,895","11,169","12,641","15,356","12,414","14,455","12,847","21,089"
"Texas Tech University Health Sciences Center, El Paso","16,479","17,391","18,889","23,282",0,0,0,0,0,0
University of Texas Health Science Center at Tyler,"16,292","11,799","12,191",0,0,0,0,0,0,0
Alcorn State University,"16,129","8,204","9,396","10,060","11,315","11,515","11,397","10,280","13,064","11,665"
Georgia Southern University,"16,084","17,395","17,152","20,245","18,069","5,719","3,912","3,704","4,739","4,204"
"University of North Carolina at Wilmington, The","16,015","15,715","15,564","14,648","18,145","19,722","22,593","23,143","18,287","20,326"
Humboldt State University,"15,969","16,143","11,218","8,306","8,025","9,510","9,570","9,845","15,261","8,808"
University of New Orleans,"15,939","15,719","18,960","20,614","24,607","28,450","35,359","35,021","30,801","27,917"
"City University of New York, Queens College","15,936","19,168","19,092","23,434","19,762","22,399","23,219","16,845","13,115","11,989"
Charles R. Drew University of Medicine and Science,"15,652","13,360","14,128","20,686","18,547","20,580","22,150","22,152","57,604","49,224"
New York Medical College,"15,637","17,311","17,653","17,908","20,243","23,277","27,316","28,400","30,584","31,644"
South Dakota School of Mines & Technology,"15,541","15,396","14,970","10,524","12,156","19,140","32,070","28,572","14,373","16,503"
Clarkson University,"15,148","12,983","13,406","13,750","12,061","14,809","17,951","18,584","15,047","17,724"
Morgan State University,"14,978","15,727","13,577","15,720","15,475","17,751","12,803","12,804","12,433","12,336"
Central Michigan University,"14,652","14,166","12,880","15,015","12,879","10,907","8,671","7,483","5,758","4,928"
Oakland University,"14,561","16,001","17,108","15,196","16,767","18,194","15,868","12,856","11,275","9,812"
Bowling Green State University,"14,333","14,460","7,995","8,861","13,157","8,566","8,999","8,124","8,562","11,390"
South Carolina State University,"14,300","13,076","12,607","12,709","12,809","12,909","10,037","7,167","8,535","8,123"
North Carolina Central University,"14,119","12,463","12,448","11,537","8,979","11,076","9,496","6,870","5,379","6,323"
Prairie View A&M University,"13,982","12,616","13,123","12,292","13,198","14,552","15,243","12,565","11,556","10,800"
United States Military Academy,"13,617","13,500","15,312","14,819","11,630","12,227","13,799","22,171","9,563","10,549"
United States Naval Academy,"13,541","11,374","9,609","10,861","10,816","9,610","10,543","11,093","10,781","9,314"
Embry-Riddle Aeronautical University,"13,335","16,761","11,942","15,393","16,484","19,376","16,289","12,189","10,899","7,004"
Montana Tech of  University of Montana,"13,059","11,851","11,595","11,348","11,059","11,765","6,705","7,424","8,395","7,883"
Western Washington University,"13,014","10,743","9,921","8,567","8,157","7,597","9,498","10,571","8,579","7,816"
"California State University, San Bernardino","12,924","10,771","15,317","13,582","11,942","9,303","11,591","4,188","9,871","12,487"
Rowan University,"12,856","10,212","8,044","8,202","3,407","3,783","3,247","2,987","6,950","6,338"
"New School, The","12,740","17,425","8,978","7,160","9,219","7,568","6,420","5,178","3,843","2,703"
Xavier University of Louisiana,"12,424","12,084","9,588","9,346","8,789","10,606","9,849","8,029","5,693","5,253"
University of the Virgin Islands,"12,298","21,215","20,630","20,371","20,041","25,719","21,994","32,350","22,019","18,099"
Tennessee Technological University,"12,079","11,528","11,082","10,097","9,715","10,233","13,247","16,754","14,823","12,351"
University of Nebraska at Omaha,"12,061","10,459","9,422","9,222","9,181","8,376","9,509","8,951","8,015","6,541"
"University of Missouri, Saint Louis","12,042","13,460","12,061","18,618","20,869","19,356","18,461","14,628","15,665","14,374"
"City University of New York, John Jay College Criminal Justice","11,934","9,688","8,689","8,633","7,355","9,319","6,205","5,916","6,487","4,085"
Langston University,"11,543","11,178","8,126","8,512","4,932","5,326","5,206","4,492","4,114","4,025"
Bryn Mawr College,"11,146","10,867","11,692","9,143","9,452","9,837","8,388","7,476","7,296","7,658"
Claremont Graduate University,"11,046","10,688","10,146","9,867","9,705","10,350","6,589","7,116","4,275","6,102"
Tarleton State University,"10,893","9,404","9,825","10,996","9,722","9,393","10,426","10,763","11,835","9,476"
Western Kentucky University,"10,814","8,926","7,854","8,280","9,322","10,639","8,344","9,943","9,138","8,855"
Virginia State University,"10,725","8,147","7,808","8,374","9,535","10,296","8,562","7,466","9,637","8,991"
Chapman University,"10,626","6,554","5,353","4,794","4,463","3,314","3,547","3,830","2,225","1,519"
Wellesley College,"10,326","11,664","9,595","10,127","9,113","8,439","7,242","8,422","8,385","8,735"
"University of Washington, Bothell","10,219","8,406","7,657","7,550","4,704","4,285","2,857",630,0,0
St. Edward's University,"10,149","9,325","9,515","3,975","8,040","5,906","7,160",0,0,0
Kennesaw State University,"9,510","8,279","4,762","2,192","5,062","3,511","1,961","1,854",790,"1,084"
East Tennessee State University,"9,493","7,982","6,930","7,836","8,919","11,213","10,249","9,869","9,445","8,485"
Midwestern University,"9,207","7,732","8,560","7,310","6,292","5,200","4,022","3,626","3,457","2,697"
Rhode Island College,"9,030","9,943","10,080","8,938","10,385","10,389","8,027",0,0,0
Wesleyan University,"8,945","7,740","7,223","7,262","8,120","8,945","10,367","8,397","7,518","8,177"
College of Charleston,"8,927","10,189","10,607","10,034","10,224","9,579","8,320","14,218","6,022","6,695"
"Purdue U., Northwest","8,924","7,812","9,669","8,166","8,259","14,897","11,946","14,014",0,0
University of Guam,"8,842","7,402","6,062","7,075","6,043","6,131","5,626","5,555","5,834","6,106"
Ball State University,"8,797","11,763","10,548","9,209","10,357","11,740","18,765","20,477","16,644","15,461"
Fairfield University,"8,749","6,174","5,750","9,155","8,769","9,331","9,892","9,294","9,454","8,591"
Ponce School of Medicine,"8,664","7,992","7,520","5,710","7,241","11,586","10,502","8,934","7,085","7,686"
University of South Florida St. Petersburg,"8,661","7,116","7,292","6,908","6,905","5,488","3,978","4,425",0,0
DePaul University,"8,561","9,558","9,479","6,415","5,524","5,706","5,798","4,889","3,830","3,324"
Clark University,"8,453","6,970","7,050","6,168","5,693","7,260","6,861","7,111","8,223","7,049"
Azusa Pacific University,"8,430","8,898","7,521","5,593",492,"2,056","3,620",0,0,0
"University of Michigan, Dearborn","8,315","7,904","7,802","8,176","6,846","6,015","7,554","6,779",0,0
"California State University, Los Angeles","8,274","5,371","5,010","5,172","7,659","7,192","8,823","7,714","9,313","10,142"
University of Arkansas Pine Bluff,"8,136","8,873","8,425","8,198","8,911","9,082","9,415","8,343","7,422","7,238"
Edward Via College of Osteopathic Medicine,"8,119","5,692","2,237","2,633","4,992","2,576","2,453",0,0,0
"California State University, Fresno","8,102","8,586","8,624","8,109","7,682","8,359","8,597","8,698","10,171","8,206"
University of New England,"8,064","7,566","7,498","7,650","6,637","5,224","4,016","3,560","2,162","1,743"
"City University of New York, Graduate Center","8,011","7,093","6,175","7,797","11,982","9,173","11,974","11,562","10,118","10,395"
Clark Atlanta University,"8,007","8,513","9,945","9,192","9,159","10,406","8,245","8,515","7,861","7,486"
Arkansas State University,"7,952","8,169","8,453","8,099","10,463","14,250","13,435","11,115","8,715","6,899"
Pacific University,"7,770","2,508","2,016","2,122","2,535","2,110","1,129","1,849","1,267",818
Salisbury University,"7,731","8,473","7,960","7,923","6,959","6,891","1,852","3,503",0,0
Gallaudet University,"7,603","6,947","4,477","5,655","6,769","6,765","7,161","7,652","4,490","4,005"
Kentucky State University,"7,412","7,178","6,017","5,694","5,605","6,859","4,562","4,912","5,189","4,671"
University of Maryland Eastern Shore,"7,403","8,250","9,700","8,982","8,826","7,309","8,664","8,692","7,504","6,015"
"City University of New York, Brooklyn College","7,393","9,602","9,091","9,407","8,064","9,216","9,306","6,846","5,486","5,030"
Norfolk State University,"7,296","7,593","5,348","6,936","6,431","8,336","7,140","5,944","6,885","7,893"
West Chester University of Pennsylvania,"7,293","5,895","5,009","2,793","1,635","4,591","8,103","5,584","3,064","3,893"
Seton Hall University,"7,272","7,244","7,058","6,675","6,489","6,398","7,701","4,003","15,427","6,812"
Texas Christian University,"7,255","6,589","8,007","7,872","8,574","7,775","5,595","5,306","6,213","5,007"
University of Southern Maine,"7,147","4,773","7,091","9,408","11,725","13,915","16,938","16,358","48,255","48,891"
Dillard University,"7,095","9,566","9,387","6,939","7,741","7,448","7,936","8,425","6,513","1,991"
Loyola Marymount University,"7,071","7,504","6,389","7,635","6,766","5,746","6,455","4,557","4,897","3,561"
University of Hawaii at Hilo,"7,008","11,287","14,495","9,323","16,009","22,003","9,934","14,857","20,202","14,500"
Grand Valley State University,"6,917","6,764","7,453","8,198","9,202","7,814","6,429","5,044","3,925","6,301"
Carleton College,"6,888","6,385","6,746","5,657","5,848","4,957","5,382","4,575","3,865","2,917"
University of Baltimore,"6,851","5,798","5,022","4,990","5,448","5,556","5,944","4,229","6,063","5,442"
University of Arkansas at Little Rock,"6,833","7,604","7,003","8,068","13,107","10,500","12,039","11,007","10,650","9,866"
University of Colorado Colorado Springs,"6,680","6,812","6,988","5,363","4,721","4,727","7,425","9,088","9,545","9,861"
"California State University, San Marcos","6,549","6,634","6,432","8,302","8,809","7,802","6,795","5,788","6,782",670
University of North Florida,"6,476","5,141","3,689","3,674","4,480","7,031","9,379","8,041","6,141","9,847"
"University of Tennessee, The, Chattanooga","6,352","5,600","6,817","6,239","7,844","10,896","9,251","10,749","8,303","8,602"
West Virginia State University,"6,305","5,224","7,365","7,221","4,491","5,087","4,176","3,770","4,017","4,362"
National Defense University,"6,293","6,447","5,542","7,682","5,865",0,0,0,0,0
Eastern Michigan University,"6,281","3,815","1,761","1,428","3,128","12,437","11,643","14,133","8,118","6,100"
Western University of Health Sciences,"6,187","6,895","4,904","5,474","3,721","3,005","1,768","1,786","2,156","1,891"
Smith College,"6,055","4,466","5,268","4,283","4,234","4,246","4,529","4,613","5,152","4,865"
Florida Gulf Coast University,"6,025","7,335","8,992","9,626","14,204","14,393","17,051","13,906","10,905","11,664"
Grambling State University,"5,911","1,570","1,863","1,469","1,695","2,179","2,135",993,818,822
"California State Polytechnic University, Pomona","5,863","5,254","4,611","5,455","6,988","6,597","7,198","6,493","1,682","1,750"
University of Central Oklahoma,"5,832","6,275","7,691","1,362","1,067","1,028","1,548","1,786",935,865
Claremont McKenna College,"5,818","6,094","5,513","5,463","5,414","5,365","5,316","5,725",741,669
Montclair State University,"5,796","5,207","4,274","4,266","4,568","5,123","3,621","2,255","1,733","1,405"
Universidad Central del Caribe,"5,634","7,090","6,964","7,181","7,095","7,313","7,515","7,122","7,484","8,243"
Universidad Metropolitana,"5,568","5,183","6,361","6,997","7,835","9,472","2,387","1,888",597,505
"California State University, Fullerton","5,510","5,755","5,611","7,919","18,478","22,222","28,186","21,776","14,898","9,038"
New Jersey City University,"5,442","2,942",443,0,0,0,0,188,307,0
"California State University, Monterey Bay","5,397","5,680","5,492","4,787","6,129","6,567","6,959","5,305","6,204","6,275"
Fort Valley State University,"5,374","5,138","4,320","4,547","3,688","3,665","3,850","5,310","3,262","3,311"
"Indiana University-Purdue University, Fort Wayne","5,254","5,952","7,052","7,882","8,128","8,570","8,864","8,523",0,0
Williams College,"5,227","5,747","5,679","4,440","3,857","4,518","4,513","4,691","4,907","4,084"
"Lincoln University, Jefferson City","5,164","5,826","6,296","6,742","6,585","7,899","8,518","8,475","8,011","6,263"
Fayetteville State University,"5,105","15,725","13,746","14,732","16,698","15,719","14,618","11,865","10,541","8,647"
"Rutgers, The State University of New Jersey, Camden","5,103","4,250","5,123","4,919","5,722","3,810","5,079","3,574",0,0
Pace University,"5,028","5,359","4,647","4,373","3,611","4,214","3,732","3,085","1,721","2,541"
Fisk University,"5,017","10,635","9,854","9,073","6,565","4,058","4,849","7,700","5,265","2,851"
University of New Haven,"5,005","3,822","1,832","1,616","1,400","2,723","2,009",0,0,0
"City University of New York, Lehman College","4,979","5,347","3,130","3,265","2,904","3,228","3,762","3,593","3,423","3,739"
Grinnell College,"4,953","4,183","3,723","3,974","4,023","2,735","1,340","2,069",746,"1,185"
West Texas A&M University,"4,943","4,048","4,513","5,407","5,510","6,937","5,847","7,346","6,526","6,332"
Southern University Agricultural Research and Extension Center,"4,921","4,704","4,761","5,606","5,530","8,122","6,143",0,0,0
Texas A&M International University,"4,745","3,742","2,917","3,441","3,674","3,344","3,121","2,428","1,870",482
Texas Southern University,"4,722","4,495","5,005","6,038","6,548","6,380","6,318","7,003","4,992","4,858"
Middle Tennessee State University,"4,714","6,164","4,350","4,334","5,718","7,108","4,969","4,793","3,468","3,340"
"California State University, Bakersfield","4,652","3,161","3,192","2,432","2,602","1,241","3,162","2,083","2,225","1,898"
University of Northern Colorado,"4,538","4,028","3,652","4,176","3,034","2,896","2,078","2,607","2,924","2,294"
"University of Oklahoma, The, Tulsa","4,487","4,962","4,104","2,520",0,0,0,0,0,0
Appalachian State University,"4,475","3,146","3,878","4,289","3,051","4,438","3,835","2,898","3,135","3,851"
Youngstown State University,"4,439","2,342","3,348","3,464","3,785","3,598","4,732","4,523","2,082","1,478"
Bucknell University,"4,437","4,377","4,140","4,464","4,297","4,009","5,043","5,456","4,538","2,934"
University of Massachusetts unallocated,"4,394","5,219","5,056","5,875","3,617","3,173",0,0,0,0
Franklin & Marshall College,"4,385","3,772","3,888","3,105","3,475","2,997","3,439","3,770","2,895","2,333"
"City University of New York, College of Staten Island","4,250","3,511","3,060","3,731","3,691","4,955","4,188","3,290","3,409","3,275"
Kettering University,"4,233","3,463","3,673","3,517","3,449","4,059","5,087","6,880","4,454","3,689"
Texas A&M University-Commerce,"4,227","2,943","3,755","2,833","2,541","2,279","2,242","2,679","2,613","1,796"
Roseman University of Health Sciences,"4,167","3,433","3,287","3,021","2,781",929,840,0,0,0
Oregon Institute of Technology,"4,159","4,027","2,056","1,841",0,0,258,0,0,"4,617"
Texas Woman's University,"4,073","3,014","2,310","2,650","2,704","4,129","2,919","2,271","2,351","2,322"
Amherst College,"4,070","4,260","4,412","4,308","6,275","5,448","4,623","3,628","4,984","5,906"
"Southern University and A&M College, Baton Rouge","4,043","4,322","4,766","4,812","4,920","6,773","6,819","6,865","6,865","6,701"
University of the Sciences in Philadelphia,"3,980","3,308","4,076","2,922","3,765","3,610","3,504","1,964","1,800","1,777"
Erikson Institute,"3,965","3,117","2,397","1,321","2,001","2,511","1,212",0,0,0
Lamar University,"3,883","2,783","2,824","2,447","2,605","3,589","4,762","5,829","5,376","4,928"
University of San Diego,"3,876","4,734","4,476","5,146","4,554","4,275","3,483","2,934","2,383","1,484"
"Pennsylvania State University, The, Behrend","3,804","5,382","3,737","4,282","3,203","3,374","3,183","3,265",0,0
Central Washington University,"3,798","2,751","2,581","2,124","2,122","2,753","2,858","5,159","6,967","9,574"
Harvey Mudd College,"3,748","4,332","3,272","3,127","3,595","3,512","3,861","3,214","2,701","3,005"
University of the District of Columbia,"3,733","3,469","2,043","2,361","3,073","4,030","4,422","5,012","3,958","5,629"
Barnard College,"3,730","3,534","2,916","2,738","2,931","3,684","4,046","3,353","2,972","2,824"
"University of North Carolina, The, unallocated","3,721","4,137","4,197","1,200",183,0,0,0,0,0
Stephen F. Austin State University,"3,677","4,749","5,170","4,298","4,612","5,495","6,046","9,127","8,345","7,867"
Morehouse College,"3,667","4,315","6,180","7,349","9,581","9,113","8,485","7,857","6,993","5,274"
Sam Houston State University,"3,658","3,266","3,086","3,996","4,608","4,349","5,816","7,555","8,617","4,553"
Mount Holyoke College,"3,635","3,403","3,826","3,871","3,118","3,323","3,317","2,788","2,972","3,522"
St. Cloud State University,"3,588","3,497","4,192","3,380","2,912","2,932","3,404","4,184","8,218","7,262"
Swarthmore College,"3,569","3,211","2,943","3,528","3,415","3,281","2,994","2,984","3,067","2,526"
"City University of New York, Advanced Science Research Center","3,541","2,030",569,0,0,0,0,0,0,0
University of Nebraska at Kearney,"3,510","1,864","1,496","1,504","1,761","1,715","2,199","1,655","1,515","1,277"
Lewis & Clark College,"3,438","3,267","3,873","4,713","3,628","2,246","2,778","2,753","1,270","2,206"
Colgate University,"3,414","3,219","2,721","2,444","2,704","3,268","2,291","2,851","2,819","2,953"
Jacksonville State University,"3,380","3,231","3,242","1,665",269,578,624,398,225,0
Milwaukee School of Engineering,"3,374","3,930","4,524","4,410","4,376","4,635","4,472","3,944","4,245","4,156"
Mills College,"3,353","3,540","3,159","3,619","3,869","2,747","2,237","1,679","2,926",560
University of Central Arkansas,"3,313","3,453","3,502","4,064","2,913","3,277","2,821","2,670","1,515","1,638"
State University of New York College of Optometry,"3,304","4,169","3,906","3,481","3,637","3,466","3,738","3,529","2,670","2,238"
University of Northern Iowa,"3,303","3,632","4,032","3,711","3,678","3,615","4,248","3,064","2,453","3,237"
Memorial Sloan Kettering Cancer Center,"3,285","3,177","3,089","3,356","2,979","2,562","2,342",0,0,0
Trinity University,"3,274","2,383","2,633","2,992","3,094","1,611","1,355","1,446","1,308","1,546"
Yeshiva University,"3,258","46,130","306,174","306,826","271,166","289,027","281,334","314,240","193,010","197,311"
James Madison University,"3,248","3,303","3,712","4,628","5,835","8,891","7,303","7,038","5,988","5,922"
"University of Washington, Tacoma","3,246","3,957","3,618","2,938","2,203","1,845","1,359",872,0,0
New York Institute of Technology,"3,236","4,114","4,169","5,761","4,007","3,013","2,059","1,785","2,197","2,084"
Alfred University,"3,231","3,975","5,193","4,655","6,731","5,451","6,084","4,524","3,991","5,595"
Hope College,"3,225","2,811","2,932","3,016","3,559","3,376","4,185","3,596","2,321","2,605"
Naval War College,"3,224","3,210","2,653","2,736","2,700","2,938",0,0,0,0
Missouri State University,"3,215","3,069","3,540","3,782","3,882","4,340","5,584","7,770","11,396","9,313"
Pomona College,"3,205","3,691","3,538","3,818","3,679","3,259","3,640","2,924","3,234","4,244"
University of Wisconsin-La Crosse,"3,187","3,211","3,615","3,424","3,796","3,583","3,862","4,141","3,349","3,370"
Willamette University,"3,147","2,459","2,007","1,698","1,960","2,652","1,940","2,059","1,465",869
"Touro University, Vallejo","3,122","3,466","3,106","3,067","2,155","2,237","1,779","1,221","1,305",0
University of Wisconsin-Stevens Point,"3,110","2,973","3,446","3,919","4,392","5,576","6,171","6,766","4,002","3,325"
University of Richmond,"3,106","3,047","3,069","3,598","3,351","4,282","4,064","4,052","3,969","3,458"
Valparaiso University,"3,083","3,041","1,678","1,415","1,088","2,111","1,390",791,780,866
Tougaloo College,"3,030","2,473","2,689","2,285","2,639","2,613","2,753","2,978","2,983","3,460"
William Paterson University,"3,012","1,919","1,850",0,0,0,"1,452","1,051","1,017",789
Philadelphia College of Osteopathic Medicine,"2,969","2,458","2,561","2,209","2,614","1,898","2,401","1,278","1,223","1,390"
"University of South Carolina, Aiken","2,961","1,445","1,154","1,133","1,309","1,210",750,337,0,0
Roger Williams University,"2,952","2,441","2,348","2,558","2,186","2,596","2,627","1,967","1,204","1,159"
University of Illinois at Springfield,"2,900","1,683","2,070","1,916","2,276","2,370","2,002","2,096","2,030","2,450"
Toyota Technological Institute at Chicago,"2,880","2,710","2,543","2,054",941,914,746,0,0,0
"University of North Carolina at Asheville, The","2,863","3,348","2,384","2,150","2,647","3,068","3,157","2,671","2,994","4,177"
Morehead State University,"2,860","2,399","1,838","1,892","2,631","2,174","2,018","2,145","1,789","2,822"
"Trinity College, Hartford","2,856","1,598","1,717","2,131","1,786","2,102","1,934","1,875",958,709
Towson University,"2,834","2,303","3,153","2,997","2,800","2,599","3,574","3,052","4,101","2,357"
University of Detroit Mercy,"2,748","3,654","1,882","1,320","1,220",970,"1,462","1,148","1,498",0
University of San Francisco,"2,602","2,365","2,599","2,764","2,663","4,301","2,668","2,124","1,804","1,736"
Albany College of Pharmacy and Health Sciences,"2,567","1,789","2,533","3,200","2,637","2,639","3,496","3,074","2,808","3,486"
"City University of New York, Baruch College","2,543","2,998","2,451","2,183","2,264","3,605","2,645","2,616","2,546","3,449"
"St. John's University, New York City","2,542","2,307","2,558","2,507","2,401","2,161","1,786","1,643","1,701","1,759"
Sul Ross State University,"2,500","2,015","2,204","2,528","2,159","2,375","3,183","3,039","2,698","2,549"
Southern Connecticut State University,"2,493","3,243","5,482","5,465","2,012","3,526","4,083","3,840","4,096","3,448"
"Minnesota State University, Mankato","2,471","4,034","2,294","3,310","2,640","2,082","2,654","3,837","3,180","1,832"
Murray State University,"2,459","2,124","2,371","2,080","2,192","3,345","3,718","3,396","1,734","2,370"
Haverford College,"2,442","2,173","2,633","2,546","2,769","2,588","2,765","3,620","1,870","1,397"
Saint Joseph's University,"2,409","2,171","2,093","1,988","2,921","2,955","3,073","2,918","2,782","5,217"
Elon University,"2,407","2,606","2,608","2,184","2,043","1,658","1,523",0,0,0
University of Houston-Downtown,"2,397","1,784","2,459","2,414","1,444","2,267","1,351","1,013",528,298
Pepperdine University,"2,396","3,178","2,714","2,401","2,400","2,571","1,924","2,672",877,557
Hamilton College,"2,354","2,662","2,291","2,846","2,942","3,069","3,109","3,192","2,453","1,943"
Bowdoin College,"2,340","3,204","2,991","3,126","4,292","4,732","2,877","2,627","1,990","2,028"
University of Louisiana at Monroe,"2,297","2,441","1,672","2,267","2,781","2,469","2,812","2,884","6,130","18,061"
Long Island University,"2,290","1,420","1,187",969,915,890,877,832,"2,955","2,875"
Dakota State University,"2,284","2,171","1,152","1,446","1,574","5,709","1,015",0,0,0
MGH Institute of Health Professions,"2,282","2,548","3,931","2,776",550,703,607,0,0,0
Johnson C. Smith University,"2,255","2,094","1,026",0,0,0,0,0,0,0
Pittsburg State University,"2,255","2,162","2,210","2,475","1,536","1,479","1,687","1,759","2,163","2,083"
Alabama State University,"2,253","2,372","2,303","2,236","1,927","13,607","12,340","13,340","17,164","2,461"
"Commonwealth Medical College, The","2,238","2,208","2,171","2,384","2,647","2,777",0,0,0,0
Colorado College,"2,215","1,775","2,247","1,823","1,229","1,248","1,198",671,587,"2,144"
Southeastern Louisiana University,"2,206","2,128","2,670","1,503","2,067","2,121","1,952","2,561","1,712","2,358"
La Sierra University,"2,202","1,255","1,165","1,057","1,206",934,732,0,0,0
Hawaii Pacific University,"2,175","2,371","1,241","1,524","1,043","1,390","1,436",0,0,0
University of the Pacific,"2,155","3,013","2,734","4,088","4,563","5,291","4,704","6,120","6,879","8,551"
Santa Clara University,"2,145","2,056","1,659","2,883","2,376","3,329","2,407","3,816","4,066","3,986"
Austin Peay State University,"2,134","1,823","2,113","2,002","2,067","2,124","2,180",0,0,0
Black Hills State University,"2,109","2,833","2,430","2,380","3,061","2,466","1,643","2,883","2,549","2,922"
Spelman College,"2,079","1,929","1,524","1,595","1,602","2,148","2,273","3,181","3,164","2,219"
Colby College,"2,071","1,903","1,748","1,673","1,822","1,996","1,772","1,782","1,695","1,369"
North Georgia College & State University,"2,064",0,0,0,0,0,0,197,181,0
Furman University,"2,051","1,869","1,928","1,600","2,199","2,049","2,184","2,311","1,885","1,367"
"City University of New York, Medgar Evers College","2,046","1,587",970,"1,083","1,241","1,635","2,065",658,365,326
Middlebury College,"2,043","1,822","1,599","1,450","2,179","3,031","2,408","2,292","1,852","1,789"
Central State University,"2,008","1,643","1,508","2,025","2,771","3,591","3,821","3,233","3,308","2,553"
Western Illinois University,"2,006","1,426",860,"1,349","1,983","4,514","1,528","1,221","3,642","4,597"
Eastern Washington University,"2,000","3,368","2,973","1,867","2,115","2,700","3,910","3,266","2,236","2,622"
Lawrence Technological University,"1,942","1,907","2,528","1,876","2,022","1,483","3,348","3,952","2,146","1,905"
"California Maritime Academy, The","1,921","2,205","1,542","1,011","2,480","2,793","3,005",0,0,0
Macalester College,"1,916","1,562","1,286","1,455","1,457","1,721","4,653","4,389","3,403","3,250"
University of the Incarnate Word,"1,911",728,848,"1,139",523,778,667,0,0,0
Framingham State College,"1,901",0,0,0,0,0,0,0,0,0
Coastal Carolina University,"1,893","1,779","1,862","2,166","2,516","2,412","2,162","2,404","1,575","2,160"
Oberlin College,"1,887","1,305","1,932","1,819","1,670","1,856","1,710","1,985",869,726
State University of New York Buffalo State,"1,887","2,221","2,366","1,996","2,106","2,970","2,539","1,935","2,390","1,625"
University of South Florida Sarasota-Manatee,"1,883","1,827","1,595","1,026","1,041",784,914,732,0,0
Connecticut College,"1,875","1,972","1,900","1,966","1,842","1,740","1,801","1,532","1,844",867
Keck Graduate Institute,"1,875","1,814","1,722","2,132","2,357","1,920","2,313",0,0,0
Chicago State University,"1,861",910,"1,300",946,538,565,"2,014","1,598","5,645","1,960"
Skidmore College,"1,859","1,327","1,772","1,811","1,903","1,885","2,113","2,850","1,411",782
"California State University, Dominguez Hills","1,858","2,790","2,557","3,614","4,671","2,894","2,780","2,743","2,836","13,122"
Bates College,"1,853","1,781","2,791","1,584","2,514","2,070","1,897","1,590","1,129",976
Babson College,"1,849","2,108","2,945","3,792",301,398,696,0,0,0
Bradley University,"1,839","2,122","1,499","1,514","2,860","2,392","1,910","1,151","1,652","1,792"
"University of Texas at Tyler, The","1,837","2,844","4,610","6,894","5,317","8,520","2,766","5,679","3,297","3,426"
"Palmer College of Chiropractic, Davenport","1,836","1,510","1,698","2,736","3,774","4,507","4,861","4,693","3,415","3,340"
Lafayette College,"1,831","1,553","1,693","1,915","1,947","1,864","2,426","2,089","1,898","2,002"
Winthrop University,"1,826","1,993","10,156","13,981","12,495","7,993","5,089",0,0,0
Niagara University,"1,823","1,505","1,828","1,946","2,193","2,475","1,656","1,090",731,0
Bowie State University,"1,813","1,927","1,497","1,761","1,422","1,739","1,910",0,0,0
University of Hartford,"1,801","1,803","1,701","1,606","1,807","2,007","2,419","1,137","7,120","7,183"
